"REF_DATE","GEO","DGUID","Index","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Implicit price indexes","Semi-durable goods","2017=100","402","units","0","v62471003","1.1.5","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Semi-durable goods","2017=100","402","units","0","v62471003","1.1.5","100.3","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Semi-durable goods","2017=100","402","units","0","v62471003","1.1.5","101.2","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Semi-durable goods","2017=100","402","units","0","v62471003","1.1.5","101.0","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Semi-durable goods","2017=100","402","units","0","v62471003","1.1.5","100.9","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Semi-durable goods","2017=100","402","units","0","v62471003","1.1.5","103.3","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Semi-durable goods","2017=100","402","units","0","v62471003","1.1.5","105.0","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Semi-durable goods","2017=100","402","units","0","v62471003","1.1.5","103.3","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Non-durable goods","2017=100","402","units","0","v62471004","1.1.6","98.3","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Non-durable goods","2017=100","402","units","0","v62471004","1.1.6","98.4","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Non-durable goods","2017=100","402","units","0","v62471004","1.1.6","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Non-durable goods","2017=100","402","units","0","v62471004","1.1.6","102.8","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Non-durable goods","2017=100","402","units","0","v62471004","1.1.6","104.3","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Non-durable goods","2017=100","402","units","0","v62471004","1.1.6","103.9","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Non-durable goods","2017=100","402","units","0","v62471004","1.1.6","109.5","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Non-durable goods","2017=100","402","units","0","v62471004","1.1.6","120.9","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Non-durable goods","2017=100","402","units","0","v62471004","1.1.6","125.6","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Non-durable goods","2017=100","402","units","0","v62471004","1.1.6","127.6","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Services","2017=100","402","units","0","v62471005","1.1.7","98.1","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Services","2017=100","402","units","0","v62471005","1.1.7","99.1","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Services","2017=100","402","units","0","v62471005","1.1.7","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Services","2017=100","402","units","0","v62471005","1.1.7","101.4","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Services","2017=100","402","units","0","v62471005","1.1.7","103.4","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Services","2017=100","402","units","0","v62471005","1.1.7","104.6","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Services","2017=100","402","units","0","v62471005","1.1.7","106.3","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Services","2017=100","402","units","0","v62471005","1.1.7","110.3","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Services","2017=100","402","units","0","v62471005","1.1.7","115.0","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Services","2017=100","402","units","0","v62471005","1.1.7","119.7","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Household final consumption expenditure, excluding food and energy","2017=100","402","units","0","v1457065990","1.1.29","98.0","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Household final consumption expenditure, excluding food and energy","2017=100","402","units","0","v1457065990","1.1.29","99.2","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Household final consumption expenditure, excluding food and energy","2017=100","402","units","0","v1457065990","1.1.29","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Household final consumption expenditure, excluding food and energy","2017=100","402","units","0","v1457065990","1.1.29","101.2","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Household final consumption expenditure, excluding food and energy","2017=100","402","units","0","v1457065990","1.1.29","103.0","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Household final consumption expenditure, excluding food and energy","2017=100","402","units","0","v1457065990","1.1.29","104.1","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Household final consumption expenditure, excluding food and energy","2017=100","402","units","0","v1457065990","1.1.29","106.3","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Household final consumption expenditure, excluding food and energy","2017=100","402","units","0","v1457065990","1.1.29","110.6","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Household final consumption expenditure, excluding food and energy","2017=100","402","units","0","v1457065990","1.1.29","114.9","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Household final consumption expenditure, excluding food and energy","2017=100","402","units","0","v1457065990","1.1.29","118.3","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' final consumption expenditure","2017=100","402","units","0","v62471006","1.1.8","98.0","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' final consumption expenditure","2017=100","402","units","0","v62471006","1.1.8","97.4","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' final consumption expenditure","2017=100","402","units","0","v62471006","1.1.8","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' final consumption expenditure","2017=100","402","units","0","v62471006","1.1.8","102.9","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' final consumption expenditure","2017=100","402","units","0","v62471006","1.1.8","104.6","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' final consumption expenditure","2017=100","402","units","0","v62471006","1.1.8","105.5","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' final consumption expenditure","2017=100","402","units","0","v62471006","1.1.8","109.2","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' final consumption expenditure","2017=100","402","units","0","v62471006","1.1.8","112.9","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' final consumption expenditure","2017=100","402","units","0","v62471006","1.1.8","117.1","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' final consumption expenditure","2017=100","402","units","0","v62471006","1.1.8","119.8","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","General governments final consumption expenditure","2017=100","402","units","0","v62471007","1.1.9","97.5","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","General governments final consumption expenditure","2017=100","402","units","0","v62471007","1.1.9","98.2","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","General governments final consumption expenditure","2017=100","402","units","0","v62471007","1.1.9","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","General governments final consumption expenditure","2017=100","402","units","0","v62471007","1.1.9","101.1","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","General governments final consumption expenditure","2017=100","402","units","0","v62471007","1.1.9","103.5","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","General governments final consumption expenditure","2017=100","402","units","0","v62471007","1.1.9","107.7","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","General governments final consumption expenditure","2017=100","402","units","0","v62471007","1.1.9","109.9","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","General governments final consumption expenditure","2017=100","402","units","0","v62471007","1.1.9","114.3","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","General governments final consumption expenditure","2017=100","402","units","0","v62471007","1.1.9","118.0","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","General governments final consumption expenditure","2017=100","402","units","0","v62471007","1.1.9","123.3","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Gross fixed capital formation","2017=100","402","units","0","v62471008","1.1.10","96.3","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Gross fixed capital formation","2017=100","402","units","0","v62471008","1.1.10","98.1","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Gross fixed capital formation","2017=100","402","units","0","v62471008","1.1.10","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Gross fixed capital formation","2017=100","402","units","0","v62471008","1.1.10","101.9","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Gross fixed capital formation","2017=100","402","units","0","v62471008","1.1.10","104.2","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Gross fixed capital formation","2017=100","402","units","0","v62471008","1.1.10","106.7","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Gross fixed capital formation","2017=100","402","units","0","v62471008","1.1.10","114.9","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Gross fixed capital formation","2017=100","402","units","0","v62471008","1.1.10","126.2","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Gross fixed capital formation","2017=100","402","units","0","v62471008","1.1.10","131.5","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Gross fixed capital formation","2017=100","402","units","0","v62471008","1.1.10","136.3","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Business gross fixed capital formation","2017=100","402","units","0","v62471009","1.1.11","96.0","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Business gross fixed capital formation","2017=100","402","units","0","v62471009","1.1.11","98.0","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Business gross fixed capital formation","2017=100","402","units","0","v62471009","1.1.11","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Business gross fixed capital formation","2017=100","402","units","0","v62471009","1.1.11","101.9","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Business gross fixed capital formation","2017=100","402","units","0","v62471009","1.1.11","104.2","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Business gross fixed capital formation","2017=100","402","units","0","v62471009","1.1.11","107.2","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Business gross fixed capital formation","2017=100","402","units","0","v62471009","1.1.11","116.0","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Business gross fixed capital formation","2017=100","402","units","0","v62471009","1.1.11","127.8","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Business gross fixed capital formation","2017=100","402","units","0","v62471009","1.1.11","133.3","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Business gross fixed capital formation","2017=100","402","units","0","v62471009","1.1.11","138.1","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Residential structures","2017=100","402","units","0","v62471010","1.1.12","92.5","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Residential structures","2017=100","402","units","0","v62471010","1.1.12","95.8","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Residential structures","2017=100","402","units","0","v62471010","1.1.12","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Residential structures","2017=100","402","units","0","v62471010","1.1.12","102.1","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Residential structures","2017=100","402","units","0","v62471010","1.1.12","104.0","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Residential structures","2017=100","402","units","0","v62471010","1.1.12","110.2","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Residential structures","2017=100","402","units","0","v62471010","1.1.12","125.7","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Residential structures","2017=100","402","units","0","v62471010","1.1.12","142.5","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Residential structures","2017=100","402","units","0","v62471010","1.1.12","146.0","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Residential structures","2017=100","402","units","0","v62471010","1.1.12","150.9","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","98.5","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","99.8","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","102.1","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","104.6","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","105.6","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","109.1","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","118.1","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","124.6","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","128.9","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","98.0","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","99.3","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","102.5","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","104.8","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","105.4","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","113.3","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","122.7","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","127.6","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","131.7","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","99.2","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","100.5","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","101.4","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","104.3","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","106.0","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","103.2","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","111.6","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","120.7","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","125.3","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","98.6","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","99.2","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","99.9","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","102.7","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","103.0","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","105.2","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","109.6","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","116.3","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","122.2","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","96.2","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","97.9","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","101.9","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","103.6","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","105.0","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","113.0","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","122.5","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","125.5","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","128.0","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","97.7","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","98.5","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","102.2","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","104.4","","","","1"
