Year,Y_eff_total,Y_canada,percent_gain
2015,2136206.490552555,2091469,2.1390463139809786
2016,2156054.1314995373,2101103,2.6153468677897878
2017,2221166.9794204524,2170094,2.353491573196939
2018,2276981.140721568,2228262,2.186418864638355
2019,2300961.782895818,2257230,1.9374092536346712
2020,2199044.4434302044,2164051,1.6170341378370663
2021,2334593.6825608714,2302441,1.3964606502781767
2022,2403631.4362359666,2379170,1.0281499949968531
2023,2422920.2856190624,2405571,0.7212127856156552
